SMILES,Catalog ID
O=C(N[C@@H]1C[C@H](CN2C=NC=N2)C1)C3CC=4C=CC=CC4C3,Z3300205604
CC=1OCCS(=O)(=O)C1C(=O)N(C)CCC=2C=CC(Br)=CC2,Z3303387740
CC[C@@H](NS(=O)(=O)C=1C=CC(=NC1)N2C(=O)CCC2=O)C=3C=CC=CC3,Z3303478109
CCOC(=O)CCNC(=O)NC=1C=CC(=C(F)C1)N2C=NN=N2,Z3305298002
COC=1C=CC=C2SC(=NC12)NC(=O)N3CCC(CC3)C(=O)NC=4C=CN=CC4,Z3307274212
COC=1C=CC(=CC1OC)C2=NOC(CN[C@@H](C)C=3C=CC=CN3)=N2,Z3315704959
CC=1C=CC(=NN1)C(=O)NC=2C=CC(=CC2C)C3=NC4=CC(F)=CC=C4S3,Z3325175240
CCN1C=NC=C(NC(=O)C=2C=CC(=CC2)N3C(=O)C4=CC=CC=C4N=C3C)C1=O,Z3325175285
CC=1C=CN2N=CC(C(=O)NCC(F)(F)C3=CC=C(F)C=C3F)=C2C1,Z3325180945
C[C@H](NC(=O)CC=1C=NN(N1)C=2C=CC=CC2)C=3C=CC(=NC3)C(F)(F)F,Z3336491172
CC1=NN(C)C(=C1C(F)F)S(=O)(=O)NC=2C=C3CCCN3N2,Z3338662865
O=C(COC=1C=CON1)NC2=CC=C3OC4(CCCC4)OC3=C2,Z3338988207
CCN1N=C(C)C(CN2C(=O)C(=CN(C)C2=O)C(F)(F)F)=N1,Z3339715043
COC(=O)C(C)(C)C=1N=CN(CC=2C=CC=CC2C(F)(F)F)N1,Z3339948497
FC(F)CN1C=C(C=N1)NCC2=NC=3CCCCCC3S2,Z3340875175
CN1CCC(CC1)C2=CN(CC=3C=CC(=CC3)C(F)(F)F)N=N2,Z3343226514
CC(C)(C)C1=CN(CCS(=O)(=O)NC=2C=CC=CC2)N=N1,Z3343886793
C[C@@H]1COCCN1CC2=CN(N=N2)C(C(=O)N(C)C)C=3C=CC=CC3,Z3343964413
CC1(C)CCCN1C(=O)CN2C=C(CN3C=CC=CC3=O)N=N2,Z3344049756
CC1(C)CCCN1C(=O)CN2C=C(N=N2)C3=CC=C(Cl)S3,Z3344050938
COCC1=CC(CN2C=C(N=N2)C3=C4CCCCC4=NN3C)=NO1,Z3344114995
CC1=NC=CN1C=2C=CC(=CC2F)CNC(C)C3=CNC=N3,Z3359091781
N#CC=1C=CC2=C(C1)CCC2NCC=3C=NC=CC3C(F)(F)F,Z3360487029
CC1=NC=2C=C(C=CC2C(=O)N1)C(=O)N3CCN(CC3)C=4C=CN=NC4,Z3362331184
CCNC=1N=CC(=CC1Cl)C(=O)NC(C)(C)C=2N=CON2,Z3368925701
CN1N=CC2=C1CCNC2C(=O)NCC=3C=CC(=CC3)OCC4=CC=CC=N4,Z3381795562
CC1=C(C=NN1C=2C=CN=CC2)C(=O)N3CCC[C@H]3C(=O)N4CCNCC4,Z3385177795
FC=1C=CC=C(C1)OC2CCN(CC2)C=3C=CN4N=CC=C4N3,Z3393094268
CC1=CON=C1CS(=O)(=O)N(C)C(C=2C=CC=CC2)C(F)(F)F,Z3405813603
O=C(NC1CCN(C1=O)C=2C=CC=CC2F)C=3C=CC=C(N3)C(F)(F)F,Z3409369244
O=C1CCC(N1)C=2C=CC=C(C2)NS(=O)(=O)C=3C=CC=C(F)C3,Z3409369407
CC=1N=CC(CNC(=O)C2C3CC2(CC3)C4=CC=NN4C)=C(N)N1,Z3416393736
CCN=S1(=O)CCC2(CC1)CN(CCO2)C(=O)C3CN(C3)C4CCOCC4,Z3416620357
CN1C=C2OC3(CCN(CC3)C(=O)C4CC5(C4)CCCCC5)CC(O)C2=N1,Z3416879858
O=C1C=2C=C(C=CC2CN1C3CCC(=O)NC3=O)CNS(=O)(=O)C=4C=CC=5OCCOC5C4,Z3417402999
O=C1CCC=2C=C(C=C3CCCN1C32)C=4C=CC=C(O)C4F,Z3476327991
O=C(NC=1C=CC=2OCOC2C1)C=3C=C(ON3)C4=CC(F)=CC=C4F,Z3476794407
O=C(NC=1C=CC(O)=CC1Cl)C=2C=CC=CC2OC(F)(F)F,Z3480645011
O=C1CC2COCCN2C(=O)[C@@H](CCC=3C=CC=CC3)N1,Z3483904065
CC(C)C=1C=CC=C(C1)C=2C=CC=3N=CN(C)C(=O)C3C2,Z3484502337
CCCC(C)C(=O)N1CCC2(C1)C=3N=CN(C)C3CCN2C(=O)C4=COC(C)=N4,Z3491137275
CN1C=C(C=N1)OCC2=NC=3C=C4CCCCC4=CC3C(=O)N2,Z3493092130
CCCN1C=C(C=N1)C2=CN(CC=3C=CN(CC=4C=CC=CC4)N3)N=N2,Z3497626551
O=S1(=O)CCCC=2C=C(C=CC21)C3=NC(CC4=CC=NO4)=NO3,Z3499374686
O=C1C=CC=2C=CC=C(NS(=O)(=O)N3CCOCC3)C2N1,Z3500391348
CC1=NN(C=C1S(=O)(=O)NC2CCC3CCNC2C3)C(C)C,Z3510678337
CN1C=C(C=N1)S(=O)(=O)CC2=CC=CC=C2OC(F)(F)F,Z3513353178
CC1=NC(=CS1)C=2C=CC3=C(C2)CCN3C(=O)C=4N=C(C)N(C)N4,Z3524160943
