Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Target Name,Target Organism,Target Type
CHEMBL315645,,,Nc1ccc(CCOc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2Cl)cc1,Ki,'=',420.0,nM,6.38,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL329127,,,N=C(N)c1cccc(N2CCCN(C3CCN(Cc4ccccc4)CC3)C2=O)c1,Ki,'=',400.0,nM,6.4,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL121981,,,CC(NC(=O)CNC(=O)Nc1ccc(C(=N)N)cc1)c1ccc(OCc2ccccc2)cc1,Ki,,,nM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL2372432,,,CC(C)(C)OC(=O)N[C@H](CCCNC(N)=O)C(=O)NCC(=O)N[C@H](C=O)CCCN=C(N)N,IC50,'=',3000.0,nM,5.52,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL83367,,,Cc1c(F)c(Oc2cccc(CO)c2)nc(Oc2cccc(C(=N)N)c2)c1F,Ki,'=',1300.0,nM,5.89,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL555494,,,COC(=O)c1c(C(=O)NCc2cc[n+](C)cc2)n(Cc2cccc(C(=N)N)c2)c2ccccc12.O=C([O-])C(F)(F)F,Ki,'=',350.0,nM,6.46,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL82355,,,Cc1ccc(C(=O)N(C)C)cc1Oc1nc(Oc2cccc(C(=N)N)c2)c(F)c(C)c1F,Ki,'>',5000.0,nM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL92776,,,Cc1cccc2c1cc(C(=O)NCc1cc(Cl)cc(Cl)c1)n2Cc1cccc(C(=N)N)c1,Ki,'=',25.0,nM,7.6,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL329392,,,Cc1cccc2c1cc(C(=O)NCc1cccc(-c3ccccc3)c1)n2Cc1cccc(C(=N)N)c1,Ki,'=',325.0,nM,6.49,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL328307,,,N=C(N)c1cccc(CNC(=O)c2cc3cc(N)ccc3n2Cc2cccc(C(=N)N)c2)c1,Ki,'=',51.0,nM,7.29,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
